Modelo,F1-Macro (media),F1-Macro (std),F1-Weighted (media),Acuracia (media),Tempo CV (s)
Complement NB (melhor alpha),0.7388167832660877,0.011101379781744632,0.7894881186448935,0.7834113146814092,0.4
Regressão Logística (melhor C),0.8985985910778487,0.004930229509979558,0.913988136478868,0.9123554687082815,8.6
SVM Linear/SGD (melhores params),0.8991905895085048,0.00997692566737708,0.9179026017941707,0.9188221786465866,11.3
