Modelo,F1-Macro (media),F1-Weighted (media),Acuracia (media)
BiLSTM (W2V embeddings),0.7791292370101534,0.798915201586195,0.7900065316786414
TextCNN (W2V embeddings),0.8572006713800306,0.8709239280965329,0.8667537557152188
